county_fips,county_name,established,origin text,etymology,fips_code,density,population,area,stateFIPS,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20
13001,Appling County,1818,Land ceded by the Creek Indians in the Treaty of Fort Jackson in 1814 and the Treaty of the Creek Agency in 1818,"Colonel Daniel Appling (1787–1818), a hero of the War of 1812",1,36.09,"18,368","509 sq mi
(1,318 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,5,5
13003,Atkinson County,1917,Clinch and Coffee Counties,"William Yates Atkinson (1854–99), governor of Georgia (1894–98) and speaker of the Georgia House of Representatives",3,24.51,"8,284","338 sq mi
(875 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13005,Bacon County,1914,"Appling, Pierce and Ware Counties","Augustus Octavius Bacon (1839–1914), U.S. Senator (1895–1914); President pro tempore of the United States Senate",5,39.29,"11,198","285 sq mi
(738 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,6,6,6,7
13007,Baker County,1825,Early County,"Colonel John Baker (died 1792), a hero of the American Revolutionary War",7,9.81,"3,366","343 sq mi
(888 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,4,4,5,5
13009,Baldwin County,1803,Creek cessions of 1802 and 1805,"Abraham Baldwin (1754–1807), a Founding Father; U.S. Senator (1799–1807); one of the Georgia delegates who signed the U.S. Constitution",9,179.72,"46,367","258 sq mi
(668 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,5,7,7,11,11,15
13011,Banks County,1859,Franklin and Habersham Counties,"Dr. Richard Banks (1784–1850), local physician noted for treating natives with smallpox",11,78.27,"18,316","234 sq mi
(606 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3
13013,Barrow County,1914,"Gwinnett, Jackson and Walton counties","""Uncle Dave"" David Crenshaw Barrow Jr. (1852–1929), chancellor of the University of Georgia (1906–29)",13,433.14,"70,169","162 sq mi
(420 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,5,6,6,6,9,19,20,20,22,25,25
13015,Bartow County,1832,Created from a portion of Cherokee County in 1832 and originally called Cass County after General Lewis Cass,"General Francis S. Bartow (1816–61), Confederate political leader; first Confederate general killed in the American Civil War",15,218.83,"100,661","460 sq mi
(1,191 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,9,9,10,19,26,54,56,56,61,76,82,93,107,117,119,125,137,147,153,159,160,160
13017,Ben Hill County,1906,Irwin and Wilcox counties,"Benjamin Harvey Hill (1823–82), U.S. Senator (1877–82)",17,69.6,"17,538","252 sq mi
(653 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,3,4,4
13019,Berrien County,1856,"Coffee, Irwin, and Lowndes counties","John Macpherson Berrien (1781–1856), U.S. Senator; U.S. Attorney General",19,42.13,"19,041","452 sq mi
(1,171 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3
